session_id,anomaly_description,value,unit
527074163,User plugged in for longer than 24 hours,24:03:44,hh:mm:ss
527134053,User plugged in for longer than 24 hours,25:54:16,hh:mm:ss
527083173,User plugged in for longer than 24 hours,39:19:21,hh:mm:ss
527824723,User actively charging for longer than 12 hours,12:08:37,hh:mm:ss
527844023,User plugged in for longer than 24 hours,24:32:49,hh:mm:ss
528103853,User actively charging for longer than 12 hours,13:54:59,hh:mm:ss
529163823,User actively charging for longer than 12 hours,13:22:37,hh:mm:ss
529436873,User actively charging for longer than 12 hours,14:51:52,hh:mm:ss
530173393,User actively charging for longer than 12 hours,12:05:10,hh:mm:ss
530837853,User actively charging for longer than 12 hours,13:07:42,hh:mm:ss
531600843,User actively charging for longer than 12 hours,13:21:28,hh:mm:ss
531486393,User plugged in for longer than 24 hours,42:45:20,hh:mm:ss
532178913,User plugged in for longer than 24 hours,24:28:47,hh:mm:ss
532270393,User actively charging for longer than 12 hours,20:46:31,hh:mm:ss
532623053,User actively charging for longer than 12 hours,13:28:23,hh:mm:ss
533328613,User actively charging for longer than 12 hours,13:56:54,hh:mm:ss
533950193,User actively charging for longer than 12 hours,15:02:28,hh:mm:ss
534291883,User plugged in for longer than 24 hours,24:16:38,hh:mm:ss
534412513,User actively charging for longer than 12 hours,13:22:17,hh:mm:ss
535053543,User actively charging for longer than 12 hours,13:15:34,hh:mm:ss
535381653,User actively charging for longer than 12 hours,12:08:12,hh:mm:ss
535520233,User plugged in for longer than 24 hours,47:46:42,hh:mm:ss
535793603,User actively charging for longer than 12 hours,14:49:08,hh:mm:ss
536440183,User actively charging for longer than 12 hours,12:33:07,hh:mm:ss
536371333,User plugged in for longer than 24 hours,41:15:54,hh:mm:ss
536743713,User plugged in for longer than 24 hours,25:28:29,hh:mm:ss
537221573,User plugged in for longer than 24 hours,26:30:12,hh:mm:ss
538357833,User actively charging for longer than 12 hours,12:56:25,hh:mm:ss
539010883,User actively charging for longer than 12 hours,15:19:33,hh:mm:ss
540016823,User plugged in for longer than 24 hours,32:59:43,hh:mm:ss
540729773,User actively charging for longer than 12 hours,15:00:22,hh:mm:ss
541099903,User actively charging for longer than 12 hours,23:22:43,hh:mm:ss
544067723,User actively charging for longer than 12 hours,13:10:15,hh:mm:ss
545221853,User actively charging for longer than 12 hours,13:23:39,hh:mm:ss
552234213,User plugged in for longer than 24 hours,27:51:51,hh:mm:ss
552803753,User actively charging for longer than 12 hours,12:25:14,hh:mm:ss
554588633,User actively charging for longer than 12 hours,14:39:04,hh:mm:ss
557070103,User actively charging for longer than 12 hours,12:36:55,hh:mm:ss
558124353,User actively charging for longer than 12 hours,12:31:50,hh:mm:ss
558299113,User plugged in for longer than 24 hours,63:02:19,hh:mm:ss
559279053,User actively charging for longer than 12 hours,16:58:41,hh:mm:ss
561254883,User plugged in for longer than 24 hours,48:34:33,hh:mm:ss
562868223,User plugged in for longer than 24 hours,25:18:43,hh:mm:ss
563027613,User actively charging for longer than 12 hours,16:40:42,hh:mm:ss
564348053,User actively charging for longer than 12 hours,15:37:18,hh:mm:ss
