station_id,day_of_week,hour,utilization_rate
615db15a48,Saturday,8,0.18587360594795538
615db15a48,Saturday,9,0.37174721189591076
615db15a48,Saturday,10,0.5576208178438662
615db15a48,Saturday,11,0.37174721189591076
615db15a48,Saturday,12,0.37174721189591076
615db15a48,Saturday,13,0.5576208178438662
615db15a48,Saturday,14,0.7434944237918215
615db15a48,Saturday,15,0.5576208178438662
615db15a48,Saturday,16,0.5576208178438662
615db15a48,Saturday,17,0.7434944237918215
615db15a48,Saturday,18,0.5576208178438662
615db15a48,Saturday,19,1.1152416356877324
615db15a48,Saturday,20,0.18587360594795538
615db15a48,Saturday,21,0.7434944237918215
615db15a48,Saturday,22,0.18587360594795538
615db15a48,Saturday,23,0.18587360594795538
615db15a48,Sunday,0,0.18587360594795538
615db15a48,Sunday,1,0.18587360594795538
615db15a48,Sunday,2,0.18587360594795538
615db15a48,Sunday,3,0.18587360594795538
615db15a48,Sunday,4,0.18587360594795538
615db15a48,Sunday,5,0.18587360594795538
615db15a48,Sunday,6,0.37174721189591076
615db15a48,Sunday,7,0.37174721189591076
615db15a48,Sunday,8,0.5576208178438662
615db15a48,Sunday,9,0.7434944237918215
615db15a48,Sunday,10,0.929368029739777
615db15a48,Sunday,11,1.3011152416356877
615db15a48,Sunday,12,1.3011152416356877
615db15a48,Sunday,13,1.1152416356877324
615db15a48,Sunday,14,0.929368029739777
615db15a48,Sunday,15,0.929368029739777
615db15a48,Sunday,16,1.486988847583643
615db15a48,Sunday,17,0.7434944237918215
615db15a48,Sunday,18,0.5576208178438662
615db15a48,Sunday,19,0.7434944237918215
615db15a48,Sunday,20,0.37174721189591076
615db15a48,Sunday,21,0.18587360594795538
615db15a48,Sunday,22,0.37174721189591076
615db15a48,Sunday,23,0.37174721189591076
7543409772,Monday,0,11.235955056179776
7543409772,Monday,1,11.797752808988765
7543409772,Monday,2,11.235955056179776
7543409772,Monday,3,11.235955056179776
7543409772,Monday,4,11.235955056179776
7543409772,Monday,5,11.797752808988765
7543409772,Monday,6,17.415730337078653
7543409772,Monday,7,28.651685393258425
7543409772,Monday,8,54.49438202247191
7543409772,Monday,9,62.92134831460674
7543409772,Monday,10,62.92134831460674
7543409772,Monday,11,61.79775280898876
7543409772,Monday,12,61.235955056179776
7543409772,Monday,13,61.235955056179776
7543409772,Monday,14,62.92134831460674
7543409772,Monday,15,57.86516853932584
7543409772,Monday,16,57.86516853932584
7543409772,Monday,17,47.19101123595506
7543409772,Monday,18,39.8876404494382
7543409772,Monday,19,37.07865168539326
7543409772,Monday,20,33.146067415730336
7543409772,Monday,21,27.528089887640448
7543409772,Monday,22,16.292134831460675
7543409772,Monday,23,14.044943820224718
7543409772,Tuesday,0,12.92134831460674
7543409772,Tuesday,1,13.48314606741573
7543409772,Tuesday,2,14.044943820224718
7543409772,Tuesday,3,14.044943820224718
7543409772,Tuesday,4,14.044943820224718
7543409772,Tuesday,5,14.606741573033707
7543409772,Tuesday,6,16.292134831460675
7543409772,Tuesday,7,33.146067415730336
7543409772,Tuesday,8,64.6067415730337
7543409772,Tuesday,9,69.66292134831461
7543409772,Tuesday,10,70.78651685393258
7543409772,Tuesday,11,70.78651685393258
7543409772,Tuesday,12,69.10112359550561
7543409772,Tuesday,13,65.73033707865169
7543409772,Tuesday,14,64.04494382022472
7543409772,Tuesday,15,64.04494382022472
7543409772,Tuesday,16,64.04494382022472
7543409772,Tuesday,17,52.80898876404494
7543409772,Tuesday,18,45.50561797752809
7543409772,Tuesday,19,38.764044943820224
7543409772,Tuesday,20,33.146067415730336
7543409772,Tuesday,21,28.651685393258425
7543409772,Tuesday,22,19.662921348314608
7543409772,Tuesday,23,19.10112359550562
7543409772,Wednesday,0,17.77777777777778
7543409772,Wednesday,1,16.11111111111111
7543409772,Wednesday,2,14.444444444444445
7543409772,Wednesday,3,14.444444444444445
7543409772,Wednesday,4,14.444444444444445
7543409772,Wednesday,5,14.444444444444445
7543409772,Wednesday,6,18.333333333333332
7543409772,Wednesday,7,31.11111111111111
7543409772,Wednesday,8,61.111111111111114
7543409772,Wednesday,9,66.11111111111111
7543409772,Wednesday,10,67.77777777777777
7543409772,Wednesday,11,69.44444444444444
7543409772,Wednesday,12,67.77777777777777
7543409772,Wednesday,13,65.55555555555556
7543409772,Wednesday,14,66.11111111111111
7543409772,Wednesday,15,66.11111111111111
7543409772,Wednesday,16,64.44444444444444
7543409772,Wednesday,17,50.55555555555556
7543409772,Wednesday,18,41.666666666666664
7543409772,Wednesday,19,33.333333333333336
7543409772,Wednesday,20,28.333333333333332
7543409772,Wednesday,21,23.88888888888889
7543409772,Wednesday,22,20.0
7543409772,Wednesday,23,17.77777777777778
7543409772,Thursday,0,17.77777777777778
7543409772,Thursday,1,18.88888888888889
7543409772,Thursday,2,18.88888888888889
7543409772,Thursday,3,18.88888888888889
7543409772,Thursday,4,18.333333333333332
7543409772,Thursday,5,18.333333333333332
7543409772,Thursday,6,20.555555555555557
7543409772,Thursday,7,32.22222222222222
7543409772,Thursday,8,63.333333333333336
7543409772,Thursday,9,67.22222222222223
7543409772,Thursday,10,70.0
7543409772,Thursday,11,70.55555555555556
7543409772,Thursday,12,70.55555555555556
7543409772,Thursday,13,69.44444444444444
7543409772,Thursday,14,68.33333333333333
7543409772,Thursday,15,63.333333333333336
